frame,latency_ms,num_trackers,critical,warning,safe
161,155.26962280273438,16,0,6,10
162,156.2199592590332,12,0,2,10
163,185.2133274078369,14,0,1,13
164,137.94827461242676,12,0,1,11
165,134.15265083312988,11,0,0,11
166,181.94103240966797,12,0,0,12
167,147.79233932495117,13,0,0,13
168,145.01261711120605,11,0,0,11
169,165.8473014831543,10,0,0,10
170,189.4052028656006,10,0,0,10
171,161.65947914123535,11,0,0,11
172,155.6689739227295,13,0,0,13
173,142.836332321167,11,0,0,11
174,125.66041946411133,12,0,0,12
175,128.61037254333496,9,0,0,9
176,150.5134105682373,9,0,0,9
177,143.9957618713379,11,0,0,11
178,171.24390602111816,10,0,0,10
179,184.77892875671387,10,0,0,10
180,161.14425659179688,9,0,0,9
181,143.53013038635254,10,0,0,10
182,162.45651245117188,11,0,0,11
183,183.16268920898438,11,0,0,11
184,164.2136573791504,12,0,0,12
185,138.4134292602539,10,0,0,10
186,157.06324577331543,11,0,0,11
187,156.59642219543457,11,1,0,10
188,155.1663875579834,12,1,0,11
189,144.24586296081543,11,1,0,10
190,175.2772331237793,11,1,0,10
191,160.70985794067383,10,1,0,9
192,147.80449867248535,10,1,0,9
193,145.94459533691406,10,1,0,9
194,126.97958946228027,10,1,0,9
195,128.587007522583,10,1,0,9
196,131.3178539276123,10,1,0,9
197,154.3266773223877,10,1,0,9
198,136.81769371032715,10,1,1,8
199,136.83176040649414,9,1,1,7
200,128.54862213134766,10,1,3,6
201,125.3821849822998,10,1,3,6
202,150.72321891784668,9,1,3,5
203,140.46931266784668,9,1,3,5
204,139.66012001037598,9,1,3,5
205,143.04709434509277,9,1,2,6
206,141.65496826171875,9,1,2,6
207,153.75113487243652,9,1,2,6
208,149.59311485290527,9,1,3,5
209,146.79884910583496,9,1,3,5
210,130.64861297607422,9,1,3,5
211,142.0426368713379,9,1,3,5
212,138.77010345458984,8,1,2,5
213,150.0415802001953,9,1,0,8
214,142.5609588623047,9,1,0,8
215,153.58924865722656,9,1,2,6
216,142.55738258361816,9,1,2,6
217,157.52744674682617,9,1,2,6
218,145.85351943969727,9,1,3,5
219,144.76943016052246,9,1,2,6
220,165.85683822631836,9,1,2,6
221,153.2115936279297,9,1,2,6
222,158.2620143890381,9,1,3,5
223,164.0338897705078,9,1,4,4
224,141.27731323242188,8,1,3,4
225,146.5163230895996,8,1,2,5
226,164.2448902130127,8,1,1,6
227,164.95561599731445,8,1,1,6
228,142.49014854431152,7,1,1,5
229,152.59838104248047,7,1,0,6
230,161.44895553588867,7,1,1,5
231,148.7438678741455,7,1,0,6
232,138.3991241455078,7,1,0,6
233,159.57069396972656,7,1,0,6
234,157.12523460388184,7,1,0,6
235,150.0101089477539,7,1,0,6
236,137.57920265197754,7,1,0,6
237,156.03375434875488,7,1,0,6
238,141.12019538879395,7,1,0,6
239,146.49271965026855,7,1,0,6
240,153.4879207611084,7,1,0,6
241,143.82457733154297,7,1,0,6
242,156.50153160095215,7,1,0,6
243,168.39289665222168,7,1,0,6
244,156.77189826965332,8,1,0,7
245,148.8645076751709,8,1,0,7
246,142.2743797302246,8,1,0,7
247,184.18073654174805,8,1,2,5
248,160.88056564331055,9,1,0,8
249,150.81095695495605,9,1,0,8
250,166.07165336608887,8,1,0,7
251,161.54718399047852,9,1,0,8
252,152.46248245239258,8,1,1,6
253,138.89169692993164,8,1,1,6
254,153.184175491333,8,1,1,6
255,159.071683883667,8,1,1,6
256,151.88121795654297,9,1,2,6
257,151.44634246826172,9,1,2,6
258,147.13788032531738,9,1,2,6
259,162.07337379455566,9,1,2,6
260,156.0842990875244,9,1,2,6
261,155.4098129272461,9,1,2,6
262,161.36527061462402,8,1,2,5
263,158.66756439208984,7,1,1,5
264,147.9356288909912,8,1,2,5
265,160.0329875946045,7,1,2,4
266,135.24150848388672,7,1,2,4
267,150.78473091125488,7,1,1,5
268,157.7925682067871,8,1,2,5
269,152.61530876159668,7,1,0,6
270,149.9650478363037,9,1,0,8
271,156.71253204345703,6,1,0,5
272,143.19896697998047,8,1,0,7
273,157.38511085510254,8,1,0,7
274,159.55829620361328,7,1,0,6
275,167.9527759552002,6,1,0,5
276,160.37416458129883,7,1,0,6
277,157.1657657623291,7,1,0,6
278,156.6462516784668,8,1,0,7
279,148.392915725708,9,1,0,8
280,171.01144790649414,8,1,0,7
281,191.03598594665527,11,1,0,10
282,163.07759284973145,9,1,0,8
283,166.98360443115234,8,1,0,7
284,185.36734580993652,9,1,0,8
285,156.22377395629883,9,1,0,8
286,155.6410789489746,9,1,0,8
287,152.19879150390625,9,1,0,8
288,145.1096534729004,8,1,0,7
289,162.14847564697266,11,1,0,10
290,178.5452365875244,12,1,0,11
291,143.43976974487305,12,1,0,11
292,145.42293548583984,10,1,0,9
293,156.42118453979492,8,1,0,7
294,166.9900417327881,8,1,0,7
295,154.83379364013672,6,1,0,5
296,159.0416431427002,7,1,0,6
297,143.28980445861816,7,1,0,6
298,150.5718231201172,7,1,0,6
299,152.72831916809082,7,1,0,6
300,145.28441429138184,8,1,0,7
301,144.92273330688477,9,1,0,8
302,153.09858322143555,8,1,0,7
303,144.18721199035645,9,1,0,8
304,165.82036018371582,10,1,0,9
305,178.9836883544922,10,1,0,9
306,147.9661464691162,10,1,0,9
307,154.2654037475586,10,1,0,9
308,149.30081367492676,10,1,0,9
309,173.9039421081543,10,1,0,9
310,175.47082901000977,10,1,0,9
311,156.25572204589844,9,1,0,8
312,141.35098457336426,9,1,0,8
313,160.7949733734131,11,1,0,10
314,176.84078216552734,11,1,0,10
315,167.62208938598633,12,1,0,11
316,144.65713500976562,11,1,0,10
317,154.85739707946777,11,1,0,10
318,179.20303344726562,8,1,0,7
319,160.24446487426758,9,1,0,8
320,148.27466011047363,9,1,0,8
321,140.18607139587402,9,1,3,5
322,172.5013256072998,9,1,1,7
323,170.65191268920898,9,1,1,7
324,180.22847175598145,9,1,1,7
325,159.11269187927246,9,1,1,7
326,143.74494552612305,9,1,0,8
327,150.57730674743652,9,1,0,8
328,180.59897422790527,9,1,0,8
329,163.37156295776367,9,1,0,8
330,156.5842628479004,9,1,0,8
331,138.47684860229492,9,1,0,8
332,185.38236618041992,10,1,0,9
333,164.22295570373535,10,1,0,9
334,152.04286575317383,10,1,0,9
335,147.44329452514648,10,1,0,9
336,146.75426483154297,10,1,0,9
337,174.51906204223633,10,1,0,9
338,158.2200527191162,10,1,0,9
339,149.68347549438477,11,1,0,10
340,141.74985885620117,10,1,0,9
341,153.92017364501953,10,1,0,9
342,186.1729621887207,11,1,0,10
343,163.84148597717285,11,1,0,10
344,156.65292739868164,10,1,0,9
345,156.86464309692383,10,1,0,9
346,182.40833282470703,10,1,0,9
347,132.31658935546875,11,1,0,10
348,147.74131774902344,9,1,0,8
349,174.9706268310547,9,1,0,8
350,174.20411109924316,9,1,0,8
351,139.0674114227295,7,1,0,6
352,143.15366744995117,9,1,0,8
353,142.3201560974121,9,1,0,8
354,197.94845581054688,9,1,0,8
355,152.51684188842773,11,1,0,10
356,160.62259674072266,11,1,0,10
357,182.16490745544434,11,1,0,10
358,186.39588356018066,12,1,0,11
359,210.22868156433105,11,1,0,10
360,192.43144989013672,10,1,0,9
361,181.75745010375977,10,1,0,9
362,178.71379852294922,10,1,0,9
363,193.27521324157715,12,1,0,11
364,164.9608612060547,11,1,0,10
365,159.17301177978516,11,1,0,10
366,167.55962371826172,11,1,0,10
367,166.72158241271973,10,1,0,9
368,173.2187271118164,12,1,0,11
369,168.89476776123047,10,1,0,9
370,158.13326835632324,9,1,0,8
371,171.69451713562012,9,1,0,8
372,173.73180389404297,9,1,0,8
373,178.85231971740723,8,1,0,7
374,174.85308647155762,8,1,0,7
375,224.06411170959473,8,1,0,7
376,169.59714889526367,8,1,0,7
377,164.44897651672363,8,1,0,7
378,157.03225135803223,9,1,0,8
379,144.6707248687744,9,1,0,8
380,171.97799682617188,9,1,0,8
381,142.48323440551758,9,1,0,8
382,168.0612564086914,9,1,0,8
383,199.4302272796631,9,1,0,8
384,166.52584075927734,8,1,0,7
385,191.97392463684082,8,1,0,7
386,188.94529342651367,8,1,0,7
387,166.46528244018555,10,1,0,9
388,187.01410293579102,10,1,0,9
389,167.86670684814453,10,1,0,9
390,171.45180702209473,10,1,0,9
391,166.2747859954834,10,1,0,9
392,172.07646369934082,11,1,0,10
393,169.79479789733887,10,1,0,9
394,163.0074977874756,9,1,0,8
395,171.9796657562256,9,1,0,8
396,155.1375389099121,9,1,0,8
397,157.69004821777344,9,1,0,8
398,171.2510585784912,9,1,0,8
399,160.66932678222656,9,1,0,8
400,148.5886573791504,9,1,0,8
401,157.85503387451172,10,1,0,9
402,175.17876625061035,10,1,0,9
403,147.16124534606934,10,1,0,9
404,167.30475425720215,10,1,0,9
405,169.06237602233887,9,1,0,8
406,165.71569442749023,9,1,0,8
407,167.77586936950684,10,1,0,9
408,174.3454933166504,10,1,0,9
409,157.42850303649902,10,1,0,9
410,155.32803535461426,8,1,0,7
411,163.20371627807617,7,1,0,6
412,158.6902141571045,7,1,0,6
413,150.58541297912598,7,1,0,6
414,162.83750534057617,7,1,0,6
415,144.21653747558594,8,1,0,7
416,148.60939979553223,7,1,0,6
417,146.17586135864258,7,1,0,6
418,149.69563484191895,8,1,0,7
419,162.52803802490234,10,1,0,9
420,142.29345321655273,9,1,0,8
421,133.62812995910645,10,1,0,9
422,159.5156192779541,9,1,0,8
423,162.02163696289062,9,1,0,8
424,165.9085750579834,10,1,0,9
425,153.95355224609375,9,1,0,8
426,163.82336616516113,9,1,0,8
427,167.6931381225586,9,1,0,8
428,181.40912055969238,9,1,0,8
429,162.29534149169922,9,1,0,8
430,162.76216506958008,9,1,0,8
431,146.51942253112793,9,1,0,8
432,143.33176612854004,10,1,0,9
433,151.2906551361084,10,1,0,9
434,138.7474536895752,10,1,0,9
435,154.36959266662598,8,1,0,7
436,153.3665657043457,8,1,0,7
437,143.72897148132324,8,1,0,7
438,141.05892181396484,8,1,0,7
439,152.13322639465332,8,1,0,7
440,151.41797065734863,8,1,0,7
441,125.0460147857666,9,1,0,8
442,142.98391342163086,7,1,0,6
443,156.02540969848633,9,1,0,8
444,144.34075355529785,9,1,0,8
445,149.74641799926758,9,1,0,8
446,126.15275382995605,9,1,0,8
447,127.77328491210938,8,1,0,7
448,151.2930393218994,9,1,0,8
449,157.40537643432617,9,1,0,8
450,148.75555038452148,9,1,0,8
451,158.8916778564453,9,1,0,8
452,156.48531913757324,9,1,0,8
453,136.66367530822754,8,1,0,7
454,165.54999351501465,9,1,0,8
455,178.71856689453125,9,1,0,8
456,162.91069984436035,9,1,0,8
457,200.8659839630127,8,1,0,7
458,169.51489448547363,7,1,0,6
459,172.56784439086914,8,1,0,7
460,151.89766883850098,8,1,0,7
461,160.69269180297852,8,1,0,7
462,152.5435447692871,8,1,0,7
463,158.0522060394287,8,1,0,7
464,160.36629676818848,7,1,0,6
465,169.2955493927002,7,1,0,6
466,177.50287055969238,7,1,0,6
467,137.79401779174805,8,1,0,7
468,170.3164577484131,8,1,0,7
469,162.4612808227539,8,1,0,7
470,163.92970085144043,8,1,0,7
471,163.60759735107422,9,1,0,8
472,167.5112247467041,8,1,0,7
473,146.93355560302734,8,1,0,7
474,151.22675895690918,7,1,0,6
475,147.6266384124756,7,1,0,6
476,146.26812934875488,7,1,0,6
477,155.7021141052246,7,1,0,6
478,163.09380531311035,7,1,0,6
479,167.33813285827637,7,1,0,6
480,153.76019477844238,7,1,0,6
481,136.50846481323242,8,1,0,7
482,142.2579288482666,8,0,1,7
483,161.5304946899414,8,0,1,7
484,156.1110019683838,7,0,1,6
485,159.58714485168457,7,1,0,6
486,161.6501808166504,8,1,0,7
487,152.27484703063965,8,1,0,7
488,165.5418872833252,8,1,0,7
489,144.6237564086914,9,1,0,8
490,164.84761238098145,9,1,0,8
491,167.2213077545166,9,1,0,8
492,180.90033531188965,10,1,0,9
493,162.09769248962402,10,1,0,9
494,170.33743858337402,9,1,0,8
495,183.30621719360352,9,1,0,8
496,164.73126411437988,9,1,0,8
497,159.70087051391602,9,1,0,8
498,154.19721603393555,9,1,0,8
499,161.50569915771484,9,1,0,8
500,152.79698371887207,9,1,0,8
501,170.98712921142578,9,1,0,8
502,167.16623306274414,9,1,0,8
503,172.92332649230957,10,1,0,9
504,167.30642318725586,10,1,0,9
505,155.4281711578369,9,1,0,8
506,179.92520332336426,9,1,0,8
507,162.95409202575684,9,1,0,8
508,169.21520233154297,9,1,0,8
509,177.4592399597168,9,1,0,8
510,158.05459022521973,9,1,0,8
511,160.506010055542,9,1,0,8
512,167.26112365722656,11,1,0,10
513,167.92058944702148,11,1,0,10
514,167.97780990600586,10,1,0,9
515,162.85967826843262,11,1,0,10
516,161.97586059570312,11,1,0,10
517,155.22432327270508,11,1,0,10
518,153.43761444091797,9,1,0,8
519,166.22138023376465,9,1,0,8
520,152.18639373779297,11,1,0,10
521,145.0634002685547,10,1,0,9
522,165.15660285949707,10,1,0,9
523,154.7231674194336,9,1,0,8
524,164.29471969604492,9,1,0,8
525,205.36565780639648,9,1,0,8
526,169.0061092376709,9,1,0,8
527,181.48446083068848,8,1,0,7
528,181.15234375,8,1,0,7
529,161.45682334899902,8,1,0,7
530,172.61266708374023,8,1,0,7
531,158.4148406982422,8,1,0,7
532,156.87990188598633,7,1,0,6
533,164.42465782165527,7,1,0,6
534,192.73638725280762,7,1,0,6
535,184.9372386932373,7,1,0,6
536,189.6347999572754,8,1,0,7
537,168.53642463684082,8,1,0,7
538,171.23007774353027,8,1,0,7
539,182.43670463562012,8,1,0,7
540,168.09964179992676,8,1,0,7
541,183.98737907409668,8,1,0,7
542,166.0923957824707,9,1,0,8
543,213.43398094177246,9,1,0,8
544,196.6879367828369,9,1,0,8
545,155.6391716003418,10,1,0,9
546,159.68823432922363,10,1,0,9
547,144.67144012451172,9,1,0,8
548,159.90281105041504,8,1,0,7
549,152.80461311340332,8,1,0,7
550,151.26442909240723,9,1,0,8
551,174.086332321167,8,1,0,7
552,162.6279354095459,8,1,0,7
553,162.40787506103516,8,1,0,7
554,159.51204299926758,8,1,0,7
555,152.73022651672363,8,1,0,7
556,170.43185234069824,8,1,0,7
557,171.45204544067383,7,1,0,6
558,170.24874687194824,7,1,0,6
559,148.90432357788086,7,1,0,6
560,162.095308303833,7,1,0,6
561,160.4592800140381,7,1,0,6
562,155.3044319152832,7,1,0,6
563,168.83015632629395,7,1,0,6
564,150.36797523498535,7,1,0,6
565,163.4981632232666,6,1,0,5
566,169.10076141357422,7,1,0,6
567,165.96245765686035,7,1,0,6
568,166.87750816345215,7,1,0,6
569,158.8125228881836,8,1,0,7
570,186.84983253479004,8,1,0,7
571,190.24157524108887,8,1,0,7
572,163.11311721801758,8,1,0,7
573,168.82634162902832,8,1,0,7
574,169.1279411315918,8,1,0,7
575,165.92884063720703,8,1,0,7
576,148.66065979003906,8,1,0,7
577,145.186185836792,8,1,0,7
578,168.3945655822754,7,1,0,6
579,154.80828285217285,8,1,0,7
580,170.86029052734375,8,1,0,7
581,173.72798919677734,7,1,0,6
582,160.92324256896973,7,1,0,6
583,149.8560905456543,7,1,0,6
584,153.0466079711914,7,1,0,6
585,164.51382637023926,7,1,0,6
586,169.79217529296875,7,1,0,6
587,147.96185493469238,7,1,0,6
588,164.68572616577148,7,1,0,6
589,166.93353652954102,7,1,0,6
590,168.20526123046875,7,1,0,6
591,153.29313278198242,7,1,0,6
592,163.67769241333008,7,1,0,6
593,162.40596771240234,7,1,0,6
594,155.55715560913086,7,1,0,6
595,155.8666229248047,7,1,0,6
596,162.9500389099121,6,1,0,5
597,162.34254837036133,6,1,0,5
598,146.9264030456543,6,1,0,5
599,155.1504135131836,6,1,0,5
600,152.44054794311523,6,1,0,5
601,158.12301635742188,7,1,0,6
602,163.3925437927246,7,1,0,6
603,147.07350730895996,7,1,0,6
604,156.6765308380127,7,1,0,6
605,160.92514991760254,7,1,0,6
606,156.7704677581787,6,1,0,5
607,155.8213233947754,6,1,0,5
608,152.9679298400879,6,1,0,5
609,156.48818016052246,6,1,0,5
610,153.9478302001953,5,0,0,5
611,142.0295238494873,5,0,0,5
612,148.4847068786621,5,0,0,5
613,149.7671604156494,4,0,0,4
614,150.2668857574463,5,0,0,5
615,155.8990478515625,4,0,0,4
616,156.51321411132812,4,0,0,4
617,156.5845012664795,5,0,0,5
618,158.83684158325195,3,0,0,3
619,161.18812561035156,4,0,0,4
620,160.36343574523926,3,0,0,3
621,205.1713466644287,4,0,0,4
622,163.89012336730957,4,0,0,4
623,162.72902488708496,4,0,0,4
624,163.29526901245117,4,0,0,4
625,153.78856658935547,4,0,0,4
626,155.20834922790527,4,0,0,4
627,161.23175621032715,4,0,0,4
628,161.85307502746582,4,0,0,4
629,164.73746299743652,4,0,0,4
630,166.93449020385742,4,0,0,4
631,151.4134407043457,4,0,0,4
632,155.3359031677246,4,0,1,3
633,156.27336502075195,4,0,1,3
634,157.4559211730957,4,0,1,3
635,155.94911575317383,4,0,0,4
636,160.85553169250488,3,0,0,3
637,150.7713794708252,4,0,0,4
638,155.92455863952637,4,0,0,4
639,149.98292922973633,4,0,0,4
640,154.6947956085205,4,0,0,4
641,195.76191902160645,4,0,0,4
642,296.9555854797363,3,0,0,3
643,201.66850090026855,5,0,0,5
644,169.02685165405273,5,0,0,5
645,154.7548770904541,5,0,0,5
646,150.32720565795898,5,0,0,5
647,163.53607177734375,5,0,0,5
648,166.3827896118164,6,0,0,6
649,189.78333473205566,6,0,0,6
650,189.21709060668945,6,0,0,6
651,200.01959800720215,6,0,0,6
652,161.54813766479492,6,0,0,6
653,156.19468688964844,6,0,0,6
654,140.85102081298828,6,0,0,6
655,166.03851318359375,5,0,0,5
656,174.17407035827637,6,0,0,6
657,156.86702728271484,6,0,0,6
658,153.91206741333008,6,0,0,6
659,161.6976261138916,5,0,0,5
660,213.44614028930664,5,0,0,5
661,173.35987091064453,5,0,0,5
662,173.36630821228027,5,0,0,5
663,177.58774757385254,5,0,0,5
664,174.1194725036621,4,0,0,4
665,168.56861114501953,5,0,0,5
666,177.54054069519043,4,0,0,4
667,186.77186965942383,5,0,0,5
668,176.32651329040527,6,0,0,6
669,170.32551765441895,6,0,0,6
670,166.12482070922852,6,0,0,6
671,154.38342094421387,5,0,0,5
672,163.4669303894043,5,0,0,5
673,172.2249984741211,5,0,0,5
674,156.7542552947998,5,0,0,5
675,163.68961334228516,5,0,0,5
676,168.38550567626953,5,0,0,5
677,170.61328887939453,5,0,0,5
678,170.8831787109375,6,0,0,6
679,157.31215476989746,5,0,0,5
680,160.89677810668945,5,0,0,5
681,153.36251258850098,5,0,0,5
682,164.97254371643066,5,0,0,5
683,166.56017303466797,6,0,0,6
684,159.88588333129883,6,0,0,6
685,158.1254005432129,7,0,0,7
686,169.97694969177246,6,0,0,6
687,171.10872268676758,6,0,0,6
688,144.66500282287598,6,0,0,6
689,164.46590423583984,6,0,0,6
690,170.4726219177246,7,0,0,7
691,160.7067584991455,6,0,0,6
692,170.11260986328125,6,0,0,6
693,164.9031639099121,6,0,0,6
694,170.97234725952148,6,0,0,6
695,163.68412971496582,7,0,0,7
696,161.29589080810547,3,0,0,3
697,160.15243530273438,6,0,0,6
698,156.7704677581787,5,0,0,5
699,155.94792366027832,6,0,0,6
700,166.68438911437988,6,0,0,6
701,159.89041328430176,6,0,0,6
702,175.70924758911133,5,0,0,5
703,172.41835594177246,5,0,0,5
704,167.27924346923828,5,0,0,5
705,171.22387886047363,5,0,0,5
706,191.73812866210938,5,0,0,5
707,202.5594711303711,6,0,1,5
708,167.36078262329102,6,0,0,6
709,149.0769386291504,6,0,1,5
710,139.0078067779541,5,0,0,5
711,194.65065002441406,5,0,1,4
712,181.79702758789062,5,0,0,5
713,163.67340087890625,5,0,0,5
714,155.1988124847412,6,0,1,5
715,164.2742156982422,5,0,0,5
716,168.87807846069336,5,0,0,5
717,155.84802627563477,6,0,0,6
718,190.16075134277344,8,0,0,8
719,182.98006057739258,7,0,0,7
720,151.88074111938477,7,0,0,7
721,173.22039604187012,8,0,1,7
722,208.20093154907227,7,0,1,6
723,152.4791717529297,7,0,1,6
724,143.51630210876465,7,0,1,6
725,149.932861328125,6,0,0,6
726,152.21405029296875,7,0,0,7
727,178.64370346069336,8,0,0,8
728,176.30624771118164,7,0,0,7
729,170.8850860595703,7,0,0,7
730,152.11105346679688,7,0,0,7
731,158.6606502532959,8,0,0,8
732,192.67845153808594,7,0,0,7
733,149.2142677307129,6,0,0,6
734,154.4485092163086,7,0,0,7
735,153.11861038208008,6,0,0,6
736,146.27909660339355,6,0,0,6
737,175.37474632263184,6,0,0,6
738,174.74746704101562,7,0,0,7
739,241.51849746704102,7,0,0,7
740,177.2773265838623,8,0,0,8
741,183.23850631713867,8,0,0,8
742,169.96121406555176,8,0,0,8
743,166.81981086730957,8,0,0,8
744,171.1862087249756,9,0,0,9
745,158.83374214172363,9,0,0,9
746,159.16919708251953,8,0,0,8
747,163.94996643066406,9,0,0,9
748,162.47153282165527,10,0,0,10
749,160.57825088500977,9,0,0,9
750,146.21281623840332,9,0,0,9
751,156.0356616973877,9,0,0,9
752,144.81592178344727,10,0,0,10
753,162.74166107177734,10,0,0,10
754,179.36110496520996,9,0,0,9
755,192.5673484802246,8,0,1,7
756,161.87167167663574,8,0,1,7
757,154.02841567993164,7,0,2,5
758,167.4795150756836,8,0,2,6
759,174.45921897888184,8,0,2,6
760,162.81914710998535,8,0,3,5
761,155.6847095489502,8,0,2,6
762,152.08768844604492,8,0,1,7
763,176.03635787963867,9,0,1,8
764,180.39894104003906,9,0,1,8
765,165.78197479248047,9,0,1,8
766,151.55959129333496,9,0,1,8
767,135.1921558380127,9,0,0,9
768,151.87406539916992,9,0,0,9
769,173.0644702911377,9,0,0,9
770,189.41092491149902,9,0,0,9
771,159.91449356079102,10,0,0,10
772,141.10517501831055,8,0,0,8
773,153.48458290100098,8,0,0,8
774,161.0238552093506,9,0,0,9
775,164.98470306396484,8,0,0,8
